     alpha ns_T ns_C n_TA n_TB n_CA n_CB baci power     
[1,] 0.05  1    2    5    5    5    5    -5   0.09574448
[2,] 0.05  1    2    40   40   40   40   -5   0.1296767 
[3,] 0.05  1    4    5    5    5    5    -5   0.2074871 
[4,] 0.05  1    4    20   20   20   20   -5   0.3162408 
[5,] 0.05  1    4    20   20   5    5    -5   0.2842776 
[6,] 0.05  1    10   5    5    5    5    -5   0.3356491 
[7,] 0.05  2    10   5    5    5    5    -5   0.5551316 
[8,] 0.05  2    10   40   40   40   40   -5   0.8368768 
